id,name,thc,cbd,ratings_score,ratings_count,num_likes,min_price,max_price,slug,product_link
1638,MeCann 25/1 Permanent Marker,25.0,1.0,4.6,5,112.0,5.94,9.3,mecann-25-1-permanent-marker,https://flowzz.com/product/mecann-25-1-permanent-marker
1632,Remexian 24/1 CCU STC Strawberry & Cream,24.0,0.1,4.38,13,209.0,,,remexian-24-1-ccu-stc-strawberry-cream,https://flowzz.com/product/remexian-24-1-ccu-stc-strawberry-cream
1634,Remexian 30/1 TWE ABR Alien Breath,30.0,0.1,4.44,9,207.0,6.94,8.99,remexian-30-1-twe-abr-alien-breath,https://flowzz.com/product/remexian-30-1-twe-abr-alien-breath
1633,Remexian 21/1 CCU LAR LA Runtz,21.0,0.1,4.45,9,154.0,5.48,5.48,remexian-21-1-ccu-lar-la-runtz,https://flowzz.com/product/remexian-21-1-ccu-lar-la-runtz
1635,Remexian 24/1 CKE FLV Flawless Victory,24.0,1.0,0.0,0,5.0,6.59,7.95,remexian-24-1-cke-flv-flawless-victory,https://flowzz.com/product/remexian-24-1-cke-flv-flawless-victory
1636,420 Compound 20/1 CA MWZ Mellowz,20.0,1.0,3.6,5,32.0,4.98,11.5,420-compound-20-1-ca-mwz-mellowz,https://flowzz.com/product/420-compound-20-1-ca-mwz-mellowz
1631,Remexian 27/1 PBC WTR White Truffle,27.0,0.1,4.27,11,237.0,6.95,8.3,remexian-27-1-pbc-wtr-white-truffle,https://flowzz.com/product/remexian-27-1-pbc-wtr-white-truffle
1630,30/1 Amici TR Tropical Reign,30.0,0.1,4.0,3,123.0,6.79,9.0,30-1-amici-tr-tropical-reign,https://flowzz.com/product/30-1-amici-tr-tropical-reign
1629,Remexian 27/1 CRX SUP Super Sherb,27.0,1.0,5.0,4,205.0,5.49,6.75,remexian-27-1-crx-sup-super-sherb,https://flowzz.com/product/remexian-27-1-crx-sup-super-sherb
1622,Nedcann JOG 23/01 Joker OG #3,23.0,0.1,4.5,4,25.0,4.95,7.5,nedcann-jog-23-01-joker-og,https://flowzz.com/product/nedcann-jog-23-01-joker-og
1623,Nedcann JOG 25/01 Joker OG #3,25.0,0.1,4.5,2,28.0,6.99,6.99,nedcann-jog-25-01-joker-og,https://flowzz.com/product/nedcann-jog-25-01-joker-og
1624,Canopy OGD 27/1 OG Deluxe,27.0,0.1,2.5,2,44.0,,,canopy-ogd-27-og-deluxe,https://flowzz.com/product/canopy-ogd-27-og-deluxe
1627,Cirrus Indica 27/1 Space Cake,27.0,0.1,4.33,3,67.0,6.98,9.98,cannfx-cirrus-indica-27-1space-cake,https://flowzz.com/product/cannfx-cirrus-indica-27-1space-cake
1628,Mother 26 CTBX Chatterbox,26.0,0.1,4.88,9,168.0,6.69,8.4,mother-26-ctbx-chatterbox,https://flowzz.com/product/mother-26-ctbx-chatterbox
1626,Cirrus Platinum Hybrid 27/1 Platinum Oranges,27.0,0.1,4.33,6,85.0,6.89,9.98,cannfx-cirrus-platinum-hybrid-27-1-po-platinum-oranges,https://flowzz.com/product/cannfx-cirrus-platinum-hybrid-27-1-po-platinum-oranges
1625,KEjF. SPZ 33/1 Spritzer,33.0,0.1,0.0,0,29.0,,,kejf-spz-33-1-spritzer,https://flowzz.com/product/kejf-spz-33-1-spritzer
1621,Remexian 22/1 Biscotti Mintz,22.0,1.0,0.0,0,87.0,6.19,6.19,remexian-22-1-biscotti-mintz,https://flowzz.com/product/remexian-22-1-biscotti-mintz
1620,Remexian 27/1 CIV SBU Strawberry Bubbles,27.0,0.1,3.0,2,82.0,7.19,9.98,remexian-27-1-civ-sbu-strawberry-bubbles,https://flowzz.com/product/remexian-27-1-civ-sbu-strawberry-bubbles
1613,Buuo 24/1 JGB Juggernaut x Gas Breath,24.0,0.9,3.8,5,25.0,6.25,6.25,buuo-24-1-jgb-juggernaut-gas-breath,https://flowzz.com/product/buuo-24-1-jgb-juggernaut-gas-breath
1608,Buuo 22/1 CDLC Cold Dank x Jelly Breath,22.0,0.9,4.0,7,89.0,5.47,7.5,buuo-22-1-cdlc-cold-dank-jelly-breath,https://flowzz.com/product/buuo-22-1-cdlc-cold-dank-jelly-breath
1616,Buuo 26/1 SL Key Lime Kush x Sexy Limes,26.0,0.9,3.42,12,237.0,,,buuo-26-1-sl-key-lime-kush-sexy-limes,https://flowzz.com/product/buuo-26-1-sl-key-lime-kush-sexy-limes
1618,Remexian 27/1 PGF GOZ GMO x OZ Kush,27.0,0.9,0.0,0,44.0,6.93,9.98,remexian-27-1-pgf-gmo-x-ozk-goz,https://flowzz.com/product/remexian-27-1-pgf-gmo-x-ozk-goz
1611,avaay 27/1 JFP Jet Fuel Pie,27.0,0.9,2.33,3,34.0,7.84,11.38,avaay-27-1-jfp-jet-fuel-pie,https://flowzz.com/product/avaay-27-1-jfp-jet-fuel-pie
1612,Buuo 24/1 DC Rainbow Lava,24.0,0.9,3.5,4,106.0,6.17,7.48,buuo-24-1-dc-rainbow-lava,https://flowzz.com/product/buuo-24-1-dc-rainbow-lava
1619,Remexian 30/1 PGF CIS Citrus Spritz,30.0,0.9,4.25,4,68.0,7.95,9.98,remexian-30-1-pgf-citrus-spritz-cis,https://flowzz.com/product/remexian-30-1-pgf-citrus-spritz-cis
1617,Cannamedical Indica ultra BC Grape Pie,28.5,0.1,0.0,0,35.0,8.49,16.66,cannamedical-indica-ultra-bc-grape-pie,https://flowzz.com/product/cannamedical-indica-ultra-bc-grape-pie
1615,Buuo 26/1 GP Gastro Pop,26.0,0.9,3.57,7,77.0,5.98,7.49,buuo-26-1-gp-gastro-pop,https://flowzz.com/product/buuo-26-1-gp-gastro-pop
1614,Buuo 24/1 Sudz,24.0,0.9,4.17,6,73.0,5.99,7.5,buuo-24-1-sudz,https://flowzz.com/product/buuo-24-1-sudz
1601,Barongo 20/1 SG Strawberry Guava,20.0,0.9,0.0,0,1.0,,,barongo-20-1-sg-strawberry-guava,https://flowzz.com/product/barongo-20-1-sg-strawberry-guava
1600,Barongo 17/1 SG Strawberry Guava,17.0,0.9,0.0,0,0.0,,,barongo-17-1-sg-strawberry-guava,https://flowzz.com/product/barongo-17-1-sg-strawberry-guava
1599,Remexian 30/1 TWE TRD Triangle Deluxe,30.0,0.1,3.5,2,115.0,6.46,9.19,remexian-30-1-twe-trd-triangle-deluxe,https://flowzz.com/product/remexian-30-1-twe-trd-triangle-deluxe
1598,Remexian 21/1 IRC EDG End Game,21.0,0.1,3.85,20,208.0,4.95,5.99,remexian-21-1-irc-edg-endgame,https://flowzz.com/product/remexian-21-1-irc-edg-endgame
1597,Remexian 27/1 OTA ZAD Zanda´s Dream,27.0,0.1,3.17,6,106.0,5.79,6.99,remexian-27-1-ota-zad-zandas-dream,https://flowzz.com/product/remexian-27-1-ota-zad-zandas-dream
1596,Buuo 20/1 FO USS Ultra Sour Sativa,20.0,0.9,0.0,0,3.0,4.79,4.99,buuo-20-1-fo-ultra-sour-sativa,https://flowzz.com/product/buuo-20-1-fo-ultra-sour-sativa
1595,Buuo 20/1 FO BH Boss Haze,21.0,0.9,5.0,1,11.0,3.99,9.98,buuo-20-1-fo-boss-haze,https://flowzz.com/product/buuo-20-1-fo-boss-haze
1593,Barongo 30/1 MC Animal Mintz Cross,30.0,0.9,3.71,7,44.0,8.98,9.99,barongo-30-1-mc-animal-mintz-cross,https://flowzz.com/product/barongo-30-1-mc-animal-mintz-cross
1591,enua 20/1 BA CA Busy Animal ,20.0,1.0,4.27,22,378.0,4.56,7.59,enua-20-1-ba-ca-busy-animal,https://flowzz.com/product/enua-20-1-ba-ca-busy-animal
1604,Barongo 24/1 UDC Ultra Dosed Candy,24.0,0.9,0.0,0,5.0,,,barongo-24-1-ultra-dosed-candy,https://flowzz.com/product/barongo-24-1-ultra-dosed-candy
1605,Barongo 26/1 BM Kandi Klouds Kush,26.0,0.9,3.0,1,79.0,5.95,8.91,barongo-26-1-bm-kandi-klouds-kush,https://flowzz.com/product/barongo-26-1-bm-kandi-klouds-kush
1606,Barongo 26/1 BM Tropic Boom,26.0,0.9,4.0,16,234.0,6.0,7.29,barongo-26-1-bm-tropic-boom,https://flowzz.com/product/barongo-26-1-bm-tropic-boom
1609,Buuo 22/1 CDLC Strawberry Guava,22.0,0.9,2.5,2,40.0,8.49,9.98,buuo-22-1-cdlc-strawberry-guava,https://flowzz.com/product/buuo-22-1-cdlc-strawberry-guava
1594,Buuo 20/1 FO Fast Orange,20.0,0.9,4.0,1,1.0,,,buuo-21-1-fo-fast-orange,https://flowzz.com/product/buuo-21-1-fo-fast-orange
1585,Cirrus Platinum Hybrid 27/1 Dosi Cake,27.0,0.9,3.0,1,21.0,8.79,8.79,cannfx-cirrus-platinum-hybrid-27-1,https://flowzz.com/product/cannfx-cirrus-platinum-hybrid-27-1
1602,All Nations Pretty Smalls FG 30/1 Frosted Gelato,30.0,0.9,3.33,3,77.0,7.8,7.8,all-nations-pretty-smalls-fg-30-1-frosted-gelato,https://flowzz.com/product/all-nations-pretty-smalls-fg-30-1-frosted-gelato
1603,Barongo 24/1 UDC Upside Down Cake,24.0,0.9,5.0,2,20.0,8.45,10.95,barongo-24-1-upside-down-cake,https://flowzz.com/product/barongo-24-1-upside-down-cake
1607,Barongo 26/1 BT Black Triangle,26.0,0.9,0.0,0,2.0,,,barongo-26-1-bt-black-triangle,https://flowzz.com/product/barongo-26-1-bt-black-triangle
1610,Buuo 24/1 DC Cookies & Cream,24.0,0.9,2.67,3,48.0,5.79,6.99,buuo-24-1-dc-cookies-cream,https://flowzz.com/product/buuo-24-1-dc-cookies-cream
1590,Barongo 28/1 ZP Zesty Parm,28.0,0.9,0.0,0,2.0,,,barongo-28-1-zp-zesty-parm,https://flowzz.com/product/barongo-28-1-zp-zesty-parm
1592,Barongo 30/1 KM Kush Mintz,30.0,0.9,1.0,3,32.0,6.75,10.0,barongo-30-1-km-kush-mintz,https://flowzz.com/product/barongo-30-1-km-kush-mintz
1584,Barongo 26/1 LAK LA KUSH,26.0,0.9,0.0,0,2.0,,,barongo-26-1-lak-la-kush,https://flowzz.com/product/barongo-26-1-lak-la-kush
1583,Demecan MC Epic Drop 29/1 Lava Cake,30.0,0.9,3.25,4,141.0,7.95,8.49,demecan-mc-epic-drop-29-1-lava-cake,https://flowzz.com/product/demecan-mc-epic-drop-29-1-lava-cake
1582,Bedrocan Cannabis Flos 25/1,24.6,0.3,0.0,0,22.0,10.1,10.12,bedrocan-cannabis-flos-dab-2018,https://flowzz.com/product/bedrocan-cannabis-flos-dab-2018
